"","month","year","day_status","avg_wind"
"351",12,1954,"day",39.0564516129032
"352",12,1954,"night",38.8333333333333
"353",12,1955,"day",41.6881720430108
"354",12,1955,"night",42.3763440860215
"355",12,1956,"day",43.7311827956989
"356",12,1956,"night",41.9166666666667
"357",12,1957,"day",46.5456989247312
"358",12,1957,"night",45.4596774193548
"359",12,1958,"day",40.1913746630728
"360",12,1958,"night",41.5161290322581
"361",12,1959,"day",37.1962365591398
"362",12,1959,"night",36.0672043010753
"363",12,1960,"day",43.0376344086022
"364",12,1960,"night",41.0268817204301
"365",12,1961,"day",33.9538043478261
"366",12,1961,"night",35.2737127371274
"367",12,1962,"day",35.508064516129
"368",12,1962,"night",36.8790322580645
"369",12,1963,"day",38.9516129032258
"370",12,1963,"night",40.7311827956989
"371",12,1964,"day",35.2849462365591
"372",12,1964,"night",36.8736559139785
"373",12,1965,"day",36.244623655914
"374",12,1965,"night",36.0349462365591
"375",12,1966,"day",32.2258064516129
"376",12,1966,"night",34.7016129032258
"377",12,1967,"day",39.6178861788618
"378",12,1967,"night",41.7768817204301
"379",12,1968,"day",48.2150537634409
"380",12,1968,"night",46.0430107526882
"381",12,1969,"day",29.0456989247312
"382",12,1969,"night",32.2177419354839
"383",12,1970,"day",40.1135135135135
"384",12,1970,"night",40.4027027027027
"385",12,1971,"day",42.9274193548387
"386",12,1971,"night",46.0618279569892
"387",12,1972,"day",43.0376344086022
"388",12,1972,"night",44.7284946236559
"389",12,1973,"day",39.5618279569892
"390",12,1973,"night",35.8817204301075
"391",12,1974,"day",39.8709677419355
"392",12,1974,"night",43.427027027027
"393",12,1975,"day",39.2741935483871
"394",12,1975,"night",39.7069892473118
"395",12,1976,"day",50.9596774193548
"396",12,1976,"night",50.3279569892473
"397",12,1977,"day",41.7956989247312
"398",12,1977,"night",40.8172043010753
"399",12,1978,"day",46.8010752688172
"400",12,1978,"night",50.9758064516129
"401",12,1979,"day",40.752688172043
"402",12,1979,"night",41.1182795698925
"403",12,1981,"day",31.6720430107527
"404",12,1981,"night",36.0913978494624
"405",12,1982,"day",45.6639784946237
"406",12,1982,"night",47.3440860215054
"407",12,1983,"day",49.3064516129032
"408",12,1983,"night",51.3064516129032
"409",12,1984,"day",50.2822580645161
"410",12,1984,"night",50.3817204301075
"411",12,1985,"day",47.1424731182796
"412",12,1985,"night",50.6129032258064
"413",12,1986,"day",45.9731182795699
"414",12,1986,"night",48.1693548387097
"415",12,1987,"day",41.5860215053763
"416",12,1987,"night",43.0188172043011
"417",12,1988,"day",50.6290322580645
"418",12,1988,"night",52.9811827956989
"419",12,1989,"day",49.2768817204301
